id,channel_id,datetime,subs_cnt,date,channel_name,subs_change,subs_change_pos,subs_change_neg,day_change_pos,day_change_neg
1,1,2024-12-20 15:14:06.953041,4527,2024-12-20,ANDRON ALEXANYAN,0.0,0.0,0.0,0.0,0.0
2,1,2024-12-20 22:02:10.949428,4527,2024-12-20,ANDRON ALEXANYAN,0.0,0.0,0.0,0.0,0.0
29,1,2024-12-21 02:29:49.930080,4526,2024-12-21,ANDRON ALEXANYAN,-1.0,0.0,-1.0,2.0,-1.0
56,1,2024-12-21 10:32:05.766121,4527,2024-12-21,ANDRON ALEXANYAN,1.0,1.0,0.0,2.0,-1.0
83,1,2024-12-21 18:17:10.403866,4528,2024-12-21,ANDRON ALEXANYAN,1.0,1.0,0.0,2.0,-1.0
110,1,2024-12-22 18:33:25.304988,4535,2024-12-22,ANDRON ALEXANYAN,7.0,7.0,0.0,7.0,0.0
137,1,2024-12-23 16:01:38.740539,4551,2024-12-23,ANDRON ALEXANYAN,16.0,16.0,0.0,19.0,0.0
164,1,2024-12-23 19:54:38.806582,4554,2024-12-23,ANDRON ALEXANYAN,3.0,3.0,0.0,19.0,0.0
191,1,2024-12-23 20:34:21.521107,4554,2024-12-23,ANDRON ALEXANYAN,0.0,0.0,0.0,19.0,0.0
218,1,2024-12-24 13:20:24.603457,4653,2024-12-24,ANDRON ALEXANYAN,99.0,99.0,0.0,158.0,-1.0
245,1,2024-12-24 13:58:02.373057,4659,2024-12-24,ANDRON ALEXANYAN,6.0,6.0,0.0,158.0,-1.0
272,1,2024-12-24 13:59:03.171080,4659,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
299,1,2024-12-24 14:00:02.830801,4660,2024-12-24,ANDRON ALEXANYAN,1.0,1.0,0.0,158.0,-1.0
326,1,2024-12-24 14:01:02.538515,4660,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
353,1,2024-12-24 14:02:02.414970,4660,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
380,1,2024-12-24 14:03:02.335420,4660,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
407,1,2024-12-24 14:04:02.339221,4660,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
434,1,2024-12-24 14:05:02.649966,4660,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
461,1,2024-12-24 14:06:02.055168,4660,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
488,1,2024-12-24 15:00:02.255892,4659,2024-12-24,ANDRON ALEXANYAN,-1.0,0.0,-1.0,158.0,-1.0
515,1,2024-12-24 16:00:02.500111,4666,2024-12-24,ANDRON ALEXANYAN,7.0,7.0,0.0,158.0,-1.0
542,1,2024-12-24 16:03:02.463229,4666,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
569,1,2024-12-24 16:04:02.277074,4666,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
596,1,2024-12-24 16:22:02.528914,4673,2024-12-24,ANDRON ALEXANYAN,7.0,7.0,0.0,158.0,-1.0
623,1,2024-12-24 16:46:01.849527,4673,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
650,1,2024-12-24 16:48:01.767179,4673,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
677,1,2024-12-24 17:00:03.093584,4673,2024-12-24,ANDRON ALEXANYAN,0.0,0.0,0.0,158.0,-1.0
704,1,2024-12-24 20:00:01.999809,4711,2024-12-24,ANDRON ALEXANYAN,38.0,38.0,0.0,158.0,-1.0
731,1,2024-12-25 00:00:02.525858,4725,2024-12-25,ANDRON ALEXANYAN,14.0,14.0,0.0,80.0,0.0
758,1,2024-12-25 04:00:01.923810,4727,2024-12-25,ANDRON ALEXANYAN,2.0,2.0,0.0,80.0,0.0
