channel_name,post_datetime,post_id,current_views,text_len,datetime_format,reaction_type,react_cnt,react_cnt_sum,idx_active
ANDRON ALEXANYAN,2025-01-08 14:19:39,17177,3466,2342,2025-01-30 08:00:02,ReactionCustomEmoji(document_id=5190806721286657692),55.0,131.0,3.78
ANDRON ALEXANYAN,2025-01-08 14:19:39,17177,3466,2342,2025-01-30 08:00:02,ReactionPaid(),4.0,131.0,3.78
ANDRON ALEXANYAN,2025-01-08 14:19:39,17177,3466,2342,2025-01-30 08:00:02,❤,29.0,131.0,3.78
ANDRON ALEXANYAN,2025-01-08 14:19:39,17177,3466,2342,2025-01-30 08:00:02,❤‍🔥,2.0,131.0,3.78
ANDRON ALEXANYAN,2025-01-08 14:19:39,17177,3466,2342,2025-01-30 08:00:02,👍,20.0,131.0,3.78
ANDRON ALEXANYAN,2025-01-08 14:19:39,17177,3466,2342,2025-01-30 08:00:02,👏,1.0,131.0,3.78
ANDRON ALEXANYAN,2025-01-08 14:19:39,17177,3466,2342,2025-01-30 08:00:02,🔥,20.0,131.0,3.78
ANDRON ALEXANYAN,2025-01-10 12:11:48,17213,3839,4158,2025-01-30 08:00:02,ReactionCustomEmoji(document_id=5190806721286657692),3.0,143.0,3.72
ANDRON ALEXANYAN,2025-01-10 12:11:48,17213,3839,4158,2025-01-30 08:00:02,ReactionPaid(),2.0,143.0,3.72
ANDRON ALEXANYAN,2025-01-10 12:11:48,17213,3839,4158,2025-01-30 08:00:02,⚡,1.0,143.0,3.72
ANDRON ALEXANYAN,2025-01-10 12:11:48,17213,3839,4158,2025-01-30 08:00:02,❤,18.0,143.0,3.72
ANDRON ALEXANYAN,2025-01-10 12:11:48,17213,3839,4158,2025-01-30 08:00:02,🏆,1.0,143.0,3.72
ANDRON ALEXANYAN,2025-01-10 12:11:48,17213,3839,4158,2025-01-30 08:00:02,👍,30.0,143.0,3.72
ANDRON ALEXANYAN,2025-01-10 12:11:48,17213,3839,4158,2025-01-30 08:00:02,👏,3.0,143.0,3.72
ANDRON ALEXANYAN,2025-01-10 12:11:48,17213,3839,4158,2025-01-30 08:00:02,🔥,85.0,143.0,3.72
ANDRON ALEXANYAN,2025-01-14 11:40:21,17266,3261,3524,2025-01-30 08:00:02,ReactionCustomEmoji(document_id=5348397248994617112),6.0,49.0,1.5
ANDRON ALEXANYAN,2025-01-14 11:40:21,17266,3261,3524,2025-01-30 08:00:02,ReactionPaid(),2.0,49.0,1.5
ANDRON ALEXANYAN,2025-01-14 11:40:21,17266,3261,3524,2025-01-30 08:00:02,⚡,1.0,49.0,1.5
ANDRON ALEXANYAN,2025-01-14 11:40:21,17266,3261,3524,2025-01-30 08:00:02,❤,9.0,49.0,1.5
ANDRON ALEXANYAN,2025-01-14 11:40:21,17266,3261,3524,2025-01-30 08:00:02,❤‍🔥,1.0,49.0,1.5
ANDRON ALEXANYAN,2025-01-14 11:40:21,17266,3261,3524,2025-01-30 08:00:02,🏆,2.0,49.0,1.5
ANDRON ALEXANYAN,2025-01-14 11:40:21,17266,3261,3524,2025-01-30 08:00:02,👍,24.0,49.0,1.5
ANDRON ALEXANYAN,2025-01-14 11:40:21,17266,3261,3524,2025-01-30 08:00:02,🔥,4.0,49.0,1.5
ANDRON ALEXANYAN,2025-01-17 11:12:31,17326,2828,3231,2025-01-30 08:00:02,ReactionCustomEmoji(document_id=5773683579204669626),41.0,171.0,6.05
ANDRON ALEXANYAN,2025-01-17 11:12:31,17326,2828,3231,2025-01-30 08:00:02,ReactionPaid(),3.0,171.0,6.05
ANDRON ALEXANYAN,2025-01-17 11:12:31,17326,2828,3231,2025-01-30 08:00:02,❤,17.0,171.0,6.05
ANDRON ALEXANYAN,2025-01-17 11:12:31,17326,2828,3231,2025-01-30 08:00:02,🏆,1.0,171.0,6.05
ANDRON ALEXANYAN,2025-01-17 11:12:31,17326,2828,3231,2025-01-30 08:00:02,🐳,2.0,171.0,6.05
ANDRON ALEXANYAN,2025-01-17 11:12:31,17326,2828,3231,2025-01-30 08:00:02,👍,85.0,171.0,6.05
ANDRON ALEXANYAN,2025-01-17 11:12:31,17326,2828,3231,2025-01-30 08:00:02,👏,5.0,171.0,6.05
ANDRON ALEXANYAN,2025-01-17 11:12:31,17326,2828,3231,2025-01-30 08:00:02,🔥,12.0,171.0,6.05
ANDRON ALEXANYAN,2025-01-17 11:12:31,17326,2828,3231,2025-01-30 08:00:02,🤩,5.0,171.0,6.05
ANDRON ALEXANYAN,2025-01-20 12:35:04,17388,2215,4288,2025-01-30 08:00:02,ReactionCustomEmoji(document_id=6327578929817192652),69.0,108.0,4.88
ANDRON ALEXANYAN,2025-01-20 12:35:04,17388,2215,4288,2025-01-30 08:00:02,ReactionPaid(),2.0,108.0,4.88
ANDRON ALEXANYAN,2025-01-20 12:35:04,17388,2215,4288,2025-01-30 08:00:02,⚡,4.0,108.0,4.88
ANDRON ALEXANYAN,2025-01-20 12:35:04,17388,2215,4288,2025-01-30 08:00:02,❤,3.0,108.0,4.88
